127.0.0.1 - - [24/Feb/2023:10:17:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:17:27 +0900] "GET /book1/index.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:17:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:17:52 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:17:52 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:17:52 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:17:52 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:04 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:04 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:04 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:04 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:04 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:05 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:05 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:05 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:05 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:05 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:06 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:06 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:07 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:07 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [24/Feb/2023:10:18:07 +0900] "GET /book1/index.jsp HTTP/1.1" 200 364
